控制点编号, 像点x坐标, 像点y坐标
126, 599.7967, 342.6592
125, 588.5254, 821.4632
124, 579.9622, 1281.3079
122, 564.0699, 2213.4676
123, 570.8324, 1748.2608
121, 554.3680, 2688.7451
310, 742.8191, 2440.7270
311, 747.0367, 2091.5672
312, 752.3020, 1726.6275
313, 758.7311, 1374.9511
314, 767.3171, 995.0732
315, 774.4195, 648.4750
316, 781.8991, 292.4444
400, 1035.5956, 2444.7138
401, 1038.5110, 1961.6112
402, 1042.1460, 1500.1436
403, 1048.3909, 1036.6853
404, 1050.1420, 577.0515
405, 1074.1473, 113.0724
210, 1070.5807, 2634.9382
211, 1076.2284, 2194.0035
212, 1082.8401, 1749.1101
213, 1090.5911, 1327.7907
214, 1100.3036, 889.2343
215, 1108.8167, 440.2127
321, 1335.0446, 2151.6719
322, 1341.9058, 1764.5762
324, 1357.8587, 974.5342
325, 1365.7512, 602.9154
326, 1373.8948, 217.0125
410, 1406.9948, 2495.2594
413, 1413.9653, 1029.7801
414, 1424.7296, 544.2028
415, 1444.8629, 62.8747
134, 1551.1638, 1389.7774
135, 1556.7852, 990.2657
136, 1564.1340, 579.6005
137, 1573.7210, 175.1457
420, 1795.9068, 2546.2279
423, 1807.4727, 1016.6667
424, 1815.2741, 512.3696
330, 2097.0658, 2605.0827
332, 2112.0505, 1843.2800
333, 2118.7424, 1437.4432
334, 2126.6129, 1110.5996
335, 2132.8030, 769.7644
336, 2138.3097, 455.7355
337, 2146.2711, 92.6739
430, 2207.5424, 2601.4958
431, 2223.0053, 2062.2822
432, 2237.1453, 1533.0884
433, 2253.1344, 1002.6073
434, 2262.4280, 474.3572
221, 2456.0831, 2382.5371
222, 2467.5288, 1845.1200
223, 2479.3022, 1308.5365
224, 2488.8338, 758.3414
225, 2501.0742, 213.3201
142, 2636.1643, 2545.9651
143, 2649.0034, 1984.7267
144, 2657.9279, 1402.5806
145, 2668.4318, 955.5290
146, 2675.7842, 496.3904
147, 2681.8484, 55.8147
444, 2793.6711, 433.7545
443, 2792.8627, 987.7836
440, 2730.5011, 2665.4349
342, 2979.8209, 1866.7400
343, 2987.8677, 1416.2440
344, 2996.1475, 1057.0090
345, 3001.0031, 721.3721
346, 3006.2274, 379.3763
450, 3273.5125, 2738.0169
451, 3305.9058, 2136.5084
452, 3315.4407, 1553.7971
453, 3339.3967, 972.2426
454, 3353.6819, 390.9073
152, 3860.7272, 2685.7746
153, 3878.1839, 2059.8966
154, 3888.8815, 1413.8676
155, 3896.9078, 914.4843
156, 3906.7083, 410.3764
351, 4195.0661, 2422.7434
352, 4208.1861, 1932.4942
353, 4218.8347, 1438.6869
354, 4226.3991, 1038.2943
355, 4233.3575, 654.5056
11, 1242.2643, 1304.3283
12, 1249.5411, 1642.5547
13, 1259.9157, 1939.3065
31, 1368.0900, 1307.5739
33, 1371.4383, 2027.8343
41, 1444.1865, 1311.3012
51, 1769.1649, 1283.0618
52, 1779.5950, 1690.0970
53, 1793.1521, 2140.2620
61, 2275.7462, 1317.5753
62, 2282.5174, 1693.9794
71, 2750.8228, 1301.8461
72, 2756.0559, 1715.8728
73, 2764.8717, 2134.4006
81, 3135.5821, 1301.6985
82, 3140.7163, 1694.6217
83, 3148.0479, 2092.3086
91, 3412.1216, 1312.8883
